# Qualitas Corpus Metadata
# Timestamp: 20130909T1126NZST
# See http://qualitascorpus.com/docs/metadata/attributes.html for explanation of fields.
system	status	sysvercount	description	sysver	fullname	domain	jreversion	license	distribution	releasedate	sourcepackages	n_bin	n_both	n_files	n_top(bin)	loc(both)	ncloc(both)	url
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.2	Ant	parsers/generators/make	1.3.1_20	Apache License * Version 2.0, January 2004; src/apache-ant-1.6.2/LICENSE	e	2004-07-16	org.apache.tools	979	979	670	680	171496	88537	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.3	Ant	parsers/generators/make	1.3.1_20	Apache License * Version 2.0, January 2004; src/apache-ant-1.6.3/LICENSE	e	2005-04-28	org.apache.tools	1014	1014	690	700	176360	90461	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.4	Ant	parsers/generators/make	1.3.1_20	Apache License * Version 2.0, January 2004; src/apache-ant-1.6.4/LICENSE	e	2005-05-19	org.apache.tools	1014	1014	690	700	176384	90481	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.6.5	Ant	parsers/generators/make	1.3.1_20	Apache License * Version 2.0, January 2004; src/apache-ant-1.6.5/LICENSE	e	2005-06-02	org.apache.tools	1014	1014	690	700	176391	90474	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.7.0	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.7.0/LICENSE	e	2006-12-13	org.apache.tools	1158	1158	783	787	199036	94199	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.7.1	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.7.1/LICENSE	e	2008-06-27	org.apache.tools	1174	1174	792	796	201549	95611	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.8.0	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.8.0/LICENSE	e	2010-02-08	org.apache.tools	1268	1268	833	837	213061	107509	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.8.1	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.8.1/LICENSE	e	2010-05-07	org.apache.tools	1268	1268	834	838	213589	107770	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.8.2	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.8.2/LICENSE	e	2010-12-27	org.apache.tools	1286	1286	843	847	215918	109127	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.8.3	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.8.3/LICENSE	e	2012-02-29	org.apache.tools	1289	1289	845	849	216641	104781	http://ant.apache.org/
ant	Active	23	A Java library and command-line tool for supporting processes described in build files as targets and extension points dependent upon each other.	ant-1.8.4	Ant	parsers/generators/make	1.5.0_22	Apache License * Version 2.0, January 2004; src/apache-ant-1.8.4/LICENSE	e,r	2012-05-23	org.apache.tools	1290	1290	846	850	217198	105007	http://ant.apache.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.4.0	ANTLR	parsers/generators/make	1.1.8_16-solaris	SOFTWARE RIGHTS ANTLR MageLang Institute, 1989-1998; src/antlr-2.4.0/RIGHTS	e	1998-09-18	antlr.	51	51	49	49	4331	2834	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.5.0	ANTLR	parsers/generators/make	1.1.8_16-solaris	SOFTWARE RIGHTS ANTLR MageLang Institute, 1989-1998; src/antlr-2.5.0/RIGHTS	e	1998-11-29	antlr.	52	52	50	50	4367	2650	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.6.0	ANTLR	parsers/generators/make	1.1.8_16-solaris	SOFTWARE RIGHTS ANTLR MageLang Institute, 1989-1999; src/antlr-2.6.0/RIGHTS	e	1999-03-31	antlr.	44	44	42	42	4444	2874	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.0	ANTLR	parsers/generators/make	1.1.8_16-solaris	SOFTWARE RIGHTS $Id: //depot/code/org.antlr/release/antlr-2.7.0/RIGHTS#1 $ ANTLR 1989-2000; src/antlr-2.7.0/RIGHTS	e	2000-01-19	antlr.	57	57	55	55	4910	3094	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.1	ANTLR	parsers/generators/make	1.1.8_16-solaris	SOFTWARE RIGHTS $Id: //depot/code/org.antlr/release/antlr-2.7.1/RIGHTS#1 $ ANTLR 1989-2000; src/antlr-2.7.1/RIGHTS	e	2000-10-01	antlr.	62	62	60	60	6079	3955	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.2	ANTLR	parsers/generators/make	1.2.2_017	SOFTWARE RIGHTS $Id: //depot/code/org.antlr/release/antlr-2.7.2/RIGHTS#1 $ ANTLR 1989-2003; src/antlr-2.7.2/RIGHTS	e	2003-01-19	antlr.	193	193	191	191	43546	31980	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.3	ANTLR	parsers/generators/make	1.2.2_017	SOFTWARE RIGHTS ANTLR 1989-2004;src/antlr-2.7.3/LICENSE.txt	e	2004-03-22	antlr.	210	210	202	202	47523	35373	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.4	ANTLR	parsers/generators/make	1.2.2_017	SOFTWARE RIGHTS ANTLR 1989-2004;src/antlr-2.7.4/LICENSE.txt	e	2004-05-09	antlr.	210	210	202	202	47621	35439	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.5	ANTLR	parsers/generators/make	1.2.2_017	SOFTWARE RIGHTS ANTLR 1989-2004;src/antlr-2.7.5/LICENSE.txt	e	2004-12-22	antlr.	217	217	209	209	54993	41234	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.6	ANTLR	parsers/generators/make	1.4.2_19	SOFTWARE RIGHTS ANTLR 1989-2005;src/antlr-2.7.6/LICENSE.txt	e	2005-12-07	antlr.	224	224	216	216	55725	42553	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-2.7.7	ANTLR	parsers/generators/make	1.4.2_19	SOFTWARE RIGHTS ANTLR 1989-2006;src/antlr-2.7.7/LICENSE.txt	e	2006-11-01	antlr.	224	224	216	216	55833	42616	http://www.antlr2.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.0	ANTLR	parsers/generators/make	1.4.2_19	[The "BSD licence"] Copyright (c) 2003-2006;src/antlr-3.0/LICENSE.txt	e	2007-05-17	org.antlr.	257	182	148	195	54790	38356	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.0.1	ANTLR	parsers/generators/make	1.4.2_19	[The "BSD licence"] Copyright (c) 2003-2006;src/antlr-3.0.1/LICENSE.txt	e	2007-08-14	org.antlr.	270	194	151	196	55828	39034	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.1	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD licence"] Copyright (c) 2003-2008;src/antlr-3.1/LICENSE.txt	e	2008-08-12	org.antlr.	381	300	221	264	85833	61862	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.1.1	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD licence"] Copyright (c) 2003-2008;src/antlr-3.1.1/LICENSE.txt	e	2008-10-01	org.antlr.	381	300	221	264	85891	61906	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.1.2	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD licence"] Copyright (c) 2003-2008;src/antlr-3.1.2/LICENSE.txt	e	2009-02-22	org.antlr.	400	319	193	236	84117	58287	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.1.3	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD licence"] Copyright (c) 2003-2008;src/antlr-3.1.3/tool/LICENSE.txt	e	2009-03-17	org.antlr.	425	255	182	245	41498	23493	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.2	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD licence"] Copyright (c) 2003-2008;src/antlr-3.2/tool/LICENSE.txt	e	2009-09-23	org.antlr.	531	321	211	277	44874	25243	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.3	ANTLR	parsers/generators/make	1.6.0	[The "BSD license"] Copyright (c) 2010;src/antlr-3.3/tool/LICENSE.txt	e	2010-11-30	org.antlr. antlr.	768	334	217	499	47074	26389	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.4	ANTLR	parsers/generators/make	1.6.0	[The "BSD license"] Copyright (c) 201;src/antlr-3.4/tool/LICENSE.txt	e	2011-07-18	org.antlr. antlr.	871	339	218	495	48023	27112	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-3.5	ANTLR	parsers/generators/make	1.5.0_22	[The "BSD license"] Copyright (c) 2013; src/antlr3-antlr-3.5/tool/LICENSE.txt	e	2013-01-04	org.antlr. antlr.	859	344	221	498	49474	28201	http://www.antlr.org/
antlr	Active	22	A parser-generator framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages	antlr-4.0	ANTLR	parsers/generators/make	1.6.0	[The "BSD license"] Copyright (c) 2013; src/antlr4-4.0/LICENSE.txt	e,r	2013-01-22	org.antlr.	608	385	325	395	42221	21919	http://www.antlr.org/
aoi	Active	3	3D modelling and rendering studio.	aoi-2.2	<none>	3D/graphics/media	1.4.2_19	GNU GENERAL PUBLIC LICENSE Version 2, June 1991;src/AoIsrc22/LICENSE	f	2005-11-06	artofillusion.	670	670	409	415	121493	92843	http://www.artofillusion.org/
aoi	Active	3	3D modelling and rendering studio.	aoi-2.5.1	<none>	3D/graphics/media	1.4.2_19	GNU GENERAL PUBLIC LICENSE Version 2, June 1991;src/AoIsrc251/LICENSE	f	2007-10-21	artofillusion. nik777.	806	806	459	465	138948	104014	http://www.artofillusion.org/
aoi	Active	3	3D modelling and rendering studio.	aoi-2.8.1	<none>	3D/graphics/media	1.5.0_22	GNU GENERAL PUBLIC LICENSE Version 2, June 1991;src/AoIsrc281/LICENSE	r	2010-01-03	artofillusion. nik777.	863	862	478	485	151006	111725	http://www.artofillusion.org/
argouml	Active	16	UML modeling tool	argouml-0.16.1	<none>	diagram generator/data visualization	1.3.1_20	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994 The Regents of the University of California. All rights reserved.;src/src_new/argouml.LICENSE.txt	e	2004-09-04	org.argouml.	1321	1321	1124	1190	201725	106500	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.18.1	<none>	diagram generator/data visualization	1.4.2_19	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004 The Regents of the University of California. All rights reserved.;src/src_new/argouml.LICENSE.txt	e	2005-04-30	org.argouml.	1393	1393	1206	1251	228389	110840	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.20	<none>	diagram generator/data visualization	1.4.2_19	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src_new/argouml.LICENSE.txt	e	2006-02-17	org.argouml.	1583	1583	1355	1402	248966	123189	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.22	ArgoUML	diagram generator/data visualization	1.4.2_19	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src_new/argouml.LICENSE.txt	e	2006-08-08	org.argouml.	1734	1727	1439	1506	288787	149359	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.24	<none>	diagram generator/data visualization	1.4.2_19	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src_new/argouml.LICENSE.txt	e	2007-02-12	org.argouml.	1843	1836	1480	1557	297225	156487	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.26	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2008-09-27	org.argouml.	2157	2150	1690	1788	335046	178837	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.26.2	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2008-11-19	org.argouml.	2158	2151	1690	1788	335218	178999	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.28	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2009-03-23	org.argouml.	2451	2343	1853	1957	341160	177696	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.28.1	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2009-08-16	org.argouml.	2451	2343	1853	1957	341379	177852	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.30	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2010-03-06	org.argouml.	2870	2761	2103	2210	400364	192690	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.30.1	ArgoUML	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2010-05-06	org.argouml.	2905	2796	2091	2198	401373	194861	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.30.2	<none>	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2010-07-08	org.argouml.	2905	2796	2090	2197	401325	194859	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.32	ArgoUML	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2011-01-28	org.argouml.	2950	2841	2112	2219	405190	197906	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.32.1	ArgoUML	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2011-02-23	org.argouml.	2950	2841	2112	2219	405220	197934	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.32.2	ArgoUML	diagram generator/data visualization	1.5.0_22	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e	2011-04-03	org.argouml.	2950	2841	2112	2219	405222	197936	http://argouml.tigris.org/
argouml	Active	16	UML modeling tool	argouml-0.34	ArgoUML	diagram generator/data visualization	1.6.0	Copyright 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994, 2004, 2005 The Regents of the University of California. All rights reserved.;src/argouml/src/argouml-app/src/argouml.LICENSE.txt	e,r	2011-12-15	org.argouml.	2669	2560	1888	1952	383483	192410	http://argouml.tigris.org/
aspectj	Active	2	aspect-oriented extension to Java	aspectj-1.0.6	AspectJ	programming language	1.3.1_20	Mozilla Public License version 1.1;src/LICENSE-SOURCES.html	f	2002-07-24	org.aspectj	1588	1588	861	1033	136561	88853	http://www.eclipse.org/aspectj/
aspectj	Active	2	aspect-oriented extension to Java	aspectj-1.6.9	AspectJ	programming language	1.5.0_22	Eclipse Public License Version 1.0 ("EPL");bin/aspectj1.6/LICENSE-AspectJ.html	r	2010-07-05	org.aspectj	2665	2624	1973	2001	591451	412394	http://www.eclipse.org/aspectj/
axion	Dormant	1	A small, fast relational database system supporting SQL and JDBC	axion-1.0-M2	Axion	database	1.3.1_20	Copyright (c) 2002-2003 Axion Development Team. All rights reserved.;src/axion-1.0-M2/LICENSE.txt	r	2003-07-11	org.axiondb.	261	261	237	237	41664	23744	http://axion.tigris.org/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.0.8.2	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-03-14	org.gudy. HTML. com.aelitis.	1129	1129	642	642	99839	62388	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.0.8.4	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-03-15	org.gudy. HTML. com.aelitis.	1190	1190	682	682	107835	66948	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.1.0.0	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-05-29	org.gudy. HTML. com.aelitis.	1535	1535	894	894	134314	81800	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.1.0.2	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-06-20	org.gudy. HTML. com.aelitis.	1698	1698	986	986	148403	90231	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.1.0.4	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-07-07	org.gudy. HTML. com.aelitis.	1735	1735	1006	1006	153740	93432	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.2.0.0	<none>	database	1.4.2_19	The GNU General Public License (GPL) Version 2;src/License.txt	e	2004-10-31	org.gudy. HTML. com.aelitis.	1950	1950	1125	1125	182972	109740	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.2.0.2	<none>	database	1.4.2_19	<none>	e	2004-12-18	org.gudy. HTML. com.aelitis.	2112	2112	1190	1190	198843	119193	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.3.0.0	<none>	database	1.4.2_19	<none>	e	2005-05-02	org.gudy. HTML. com.aelitis.	2847	2847	1604	1604	277203	166695	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.3.0.2	<none>	database	1.4.2_19	<none>	e	2005-05-25	org.gudy. HTML. com.aelitis.	2870	2870	1614	1614	281748	169600	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.3.0.4	<none>	database	1.4.2_19	<none>	e	2005-06-27	org.gudy. HTML. com.aelitis.	2953	2953	1650	1650	289743	174512	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-2.5.0.4	<none>	database	1.5.0_22	<none>	e	2007-01-22	org.gudy. com.aelitis.	4463	4463	2187	2187	451401	279579	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-3.0.0.8	<none>	database	1.5.0_22	<none>	e	2007-03-15	org.gudy. com.aelitis.	4568	4470	2175	2237	455269	281501	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-3.0.1.0	<none>	database	1.5.0_22	<none>	e	2007-04-05	org.gudy. com.aelitis.	4590	4492	2184	2246	457510	282843	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-3.0.1.2	<none>	database	1.5.0_22	<none>	e	2007-04-12	org.gudy. com.aelitis.	4597	4499	2186	2248	458034	283158	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-3.0.1.4	<none>	database	1.5.0_22	<none>	e	2007-05-29	org.gudy. com.aelitis.	4701	4603	2225	2287	469966	291103	http://azureus.sourceforge.net/
azureus	Active	63	A P2P file sharing client using the bittorrent protocol	azureus-3.0.1.6	<none>	database	1.5.0_22	<none>	e	2007-06-21	org.gudy. com.aelitis.	4767	4669	2235	2297	476618	295548	http://azureus.sourceforge.net/
